id,pdf,txt,q1,q2,q3,q4,q5,q6,metadata
0,"Strawberry is a small fruit crop with high economic value. Anthracnose caused by Colletotrichum
spp. poses a serious threat to strawberry production, particularly in warm and humid climates, but
knowledge of pathogen populations in tropical and subtropical regions is limited. To investigate
the diversity of infectious agents causing strawberry anthracnose in Taiwan, a disease survey was
conducted from 2010 to 2018, and Colletotrichum spp. were identified through morphological
characterization and multilocus phylogenetic analysis with internal transcribed spacer, glyceraldehyde
3-phosphate dehydrogenase, chitin synthase, actin, beta-tubulin, calmodulin, and the intergenic
region between Apn2 and MAT1-2-1 (ApMAT). Among 52 isolates collected from 24 farms/nurseries in
Taiwan, a new species, Colletotrichum miaoliense sp. nov. (6% of all isolates), a species not previously
known to be associated with strawberry, Colletotrichum karstii (6%), and three known species,
Colletotrichum siamense (75%), Colletotrichum fructicola (11%), and Colletotrichum boninense (2%),
were identified. The predominant species C. siamense and C. fructicola exhibited higher mycelial
growth rates on potato dextrose agar and caused larger lesions on wounded and non-wounded
detached strawberry leaves. Colletotrichum boninense, C. karstii, and C. miaoliense only caused lesions
on wounded leaves. Understanding the composition and biology of the pathogen population will help
in disease management and resistance breeding.","Strawberry is a small fruit crop with high economic value. Anthracnose caused by Colletotrichum spp. poses a serious threat to strawberry production, particularly in warm and humid climates, but knowledge of pathogen populations in tropical and subtropical regions is limited. To investigate the diversity of infectious agents causing strawberry anthracnose in Taiwan, a disease survey was conducted from 2010 to 2018, and Colletotrichum spp. were identified through morphological characterization and multilocus phylogenetic analysis with internal transcribed spacer, glyceraldehyde 3-phosphate dehydrogenase, chitin synthase, actin, beta-tubulin, calmodulin, and the intergenic region between Apn2 and MAT1-2-1 (ApMAT). Among 52 isolates collected from 24 farms/nurseries in Taiwan, a new species, Colletotrichum miaoliense sp. nov. (6% of all isolates), a species not previously known to be associated with strawberry, Colletotrichum karstii (6%), and three known species, Colletotrichum siamense (75%), Colletotrichum fructicola (11%), and Colletotrichum boninense (2%), were identified. The predominant species C. siamense and C. fructicola exhibited higher mycelial growth rates on potato dextrose agar and caused larger lesions on wounded and non‑wounded detached strawberry leaves. Colletotrichum boninense, C. karstii, and C. miaoliense only caused lesions on wounded leaves. Understanding the composition and biology of the pathogen population will help in disease management and resistance breeding.",What methods were used to identify Colletotrichum spp. in the study conducted in Taiwan?,How does the presence of Colletotrichum spp. affect strawberry production in warm and humid climates?,Why is there limited knowledge of pathogen populations in tropical and subtropical regions regarding strawberry anthracnose?,Did the disease survey in Taiwan cover the period from 2010 to 2018?,Was Colletotrichum miaoliense identified as a new species in the study?,Did Colletotrichum boninense cause lesions on both wounded and non-wounded strawberry leaves?,Diversity and pathogenicity of Colletotrichum species causing strawberry anthracnose in Taiwan and description of a new.pdf
1,"Strawberry (Fragaria × ananassa Duch.) is a popular small fruit crop with high economic and nutritive value.
Strawberry is in high demand globally. From 2008 to 2018, the annual worldwide cultivation of strawberries
increased from approximately 400 to 483 thousand hectares1.
Although strawberries are native to temperate
regions, they can also be grown in tropical and subtropical regions (sometimes under high-altitude conditions).
The land areas devoted to strawberry cultivation in Colombia, Peru, Guatemala, Bolivia, and Taiwan in 2018
were 1,482 ha, 1,453 ha, 690 ha, 522 ha, and 506 ha, respectively1.","Strawberry (Fragaria × ananassa Duch.) is a popular small fruit crop with high economic and nutritive value. Strawberry is in high demand globally. From 2008 to 2018, the annual worldwide cultivation of strawberries increased from approximately 400 to 483 thousand hectares. Although strawberries are native to temperate regions, they can also be grown in tropical and subtropical regions (sometimes under high-altitude conditions). The land areas devoted to strawberry cultivation in Colombia, Peru, Guatemala, Bolivia, and Taiwan in 2018 were 1,482 ha, 1,453 ha, 690 ha, 522 ha, and 506 ha, respectively.",How has the global annual cultivation of strawberries changed from 2008 to 2018?,What factors might contribute to the ability to grow strawberries in tropical and subtropical regions?,"Considering the data from 2018, which country had the smallest land area dedicated to strawberry cultivation among those listed?",Did the global annual cultivation of strawberries increase between 2008 and 2018?,Can strawberries be grown in tropical regions?,Was the land area for strawberry cultivation in Bolivia larger than in Taiwan in 2018?,Diversity and pathogenicity of Colletotrichum species causing strawberry anthracnose in Taiwan and description of a new.pdf
2,"Anthracnose caused by Colletotrichum spp. is a serious threat to strawberry production, especially in warm
and humid climates2.
Rain-splashed conidia of Colletotrichum spp. serve as the major inoculum causing epidemics
of strawberry anthracnose disease3.
After landing on the plant surface, the conidia germinate, form appressoria,
then penetrate the epidermal cells4.
Colletotrichum spp. can infect various strawberry tissues, causing
black spots or irregular spots on leaves, sunken black spots or necrosis lesions on petioles, stolons, and fruits,
and wilting of the whole plant due to crown rot2.
Under high humidity, concentric rings of acervuli with orange
conidial masses can be observed on necrotic tissues. In the US state of Florida, anthracnose causes the death of
up to 80% of seedlings in the nursery and yield losses of over 50% in the field2.
In Taiwan, strawberry seedlings
are propagated from March to September, and the high temperature, high humidity and heavy rainfall during
this period provide a suitable environment for epidemics. From 2010 to 2016, anthracnose crown rot caused the
loss of 30–40% of seedlings and ~ 20% of plants after transplanting5.","Anthracnose caused by Colletotrichum spp. is a serious threat to strawberry production, especially in warm and humid climates. Rain-splashed conidia of Colletotrichum spp. serve as the major inoculum causing epidemics of strawberry anthracnose disease. After landing on the plant surface, the conidia germinate, form appressoria, then penetrate the epidermal cells. Colletotrichum spp. can infect various strawberry tissues, causing black spots or irregular spots on leaves, sunken black spots or necrosis lesions on petioles, stolons, and fruits, and wilting of the whole plant due to crown rot. Under high humidity, concentric rings of acervuli with orange conidial masses can be observed on necrotic tissues. In the US state of Florida, anthracnose causes the death of up to 80% of seedlings in the nursery and yield losses of over 50% in the field. In Taiwan, strawberry seedlings are propagated from March to September, and the high temperature, high humidity and heavy rainfall during this period provide a suitable environment for epidemics. From 2010 to 2016, anthracnose crown rot caused the loss of 30–40% of seedlings and ~ 20% of plants after transplanting.",What are the primary environmental conditions that facilitate the spread of anthracnose in strawberries?,How does Colletotrichum spp. cause damage to strawberry plants?,What is the impact of anthracnose on strawberry yield in different regions mentioned in the passage?,Does anthracnose primarily affect strawberry plants in warm and humid climates?,Can Colletotrichum spp. cause wilting of the entire strawberry plant?,Has anthracnose led to significant seedling loss and yield reduction in both Florida and Taiwan?,Diversity and pathogenicity of Colletotrichum species causing strawberry anthracnose in Taiwan and description of a new.pdf
3,"Colletotrichum spp. have traditionally been classified based on the shape of the conidia and appressorium,
the presence of a seta or perithecium, and culture characteristics6,7.
Using these criteria, early studies reported
C. acutatum, C. gloeosporioides, and C. fragariae as strawberry anthracnose pathogens2,8.
However, Colletotrichum
spp. share similar features, and morphological characteristics can be influenced by environmental factors
including culture media, light, and temperature9−
11. Therefore, a polyphasic approach based on morphology and
genetic characteristics was proposed for identification of Colletotrichum species9.
A combination of multiple gene
sequences, including internal transcribed spacer (ITS), glyceraldehyde 3-phosphate dehydrogenase (GAPDH),
chitin synthase (CHS-1), actin (ACT ), beta-tubulin (TUB2), calmodulin (CAL), and the intergenic region between
Apn2 and MAT1-2-1 (ApMAT), can provide more molecular features to resolve different species in a Colletotrichum
species complex12,13.
Through multilocus sequence analysis coupled with morphological characterization,
recent studies have identified many additional Colletotrichum species associated with strawberry, namely C.
acutatum, C. fioriniae, C. godetiae, C. nymphaeae, C. salicis and C. simmondsii (C. acutatum species complex), C.
aenigma, C. changpingense, C. fructicola, C. gloeosporioides, C. siamense and C. theobromicola (syn. C. fragariae)
(C. gloeosporioides species complex) and C. boninense (C. boninense species complex)6,12–18.","Colletotrichum spp. have traditionally been classified based on the shape of the conidia and appressorium, the presence of a seta or perithecium, and culture characteristics. Using these criteria, early studies reported C. acutatum, C. gloeosporioides, and C. fragariae as strawberry anthracnose pathogens. However, Colletotrichum spp. share similar features, and morphological characteristics can be influenced by environmental factors including culture media, light, and temperature. Therefore, a polyphasic approach based on morphology and genetic characteristics was proposed for identification of Colletotrichum species. A combination of multiple gene sequences, including internal transcribed spacer (ITS), glyceraldehyde 3-phosphate dehydrogenase (GAPDH), chitin synthase (CHS-1), actin (ACT ), beta-tubulin (TUB2), calmodulin (CAL), and the intergenic region between Apn2 and MAT1-2-1 (ApMAT), can provide more molecular features to resolve different species in a Colletotrichum species complex. Through multilocus sequence analysis coupled with morphological characterization, recent studies have identified many additional Colletotrichum species associated with strawberry, namely C. acutatum, C. fioriniae, C. godetiae, C. nymphaeae, C. salicis and C. simmondsii (C. acutatum species complex), C. aenigma, C. changpingense, C. fructicola, C. gloeosporioides, C. siamense and C. theobromicola (syn. C. fragariae) (C. gloeosporioides species complex) and C. boninense (C. boninense species complex).",What are some of the traditional methods used to classify Colletotrichum spp.?,Why is a polyphasic approach recommended for identifying Colletotrichum species?,How has recent research expanded the list of Colletotrichum species associated with strawberry?,Have early studies classified Colletotrichum spp. based on conidia and appressorium shape?,Is morphological characterization alone sufficient for accurately identifying Colletotrichum species?,Has multilocus sequence analysis contributed to identifying new Colletotrichum species related to strawberry?,Diversity and pathogenicity of Colletotrichum species causing strawberry anthracnose in Taiwan and description of a new.pdf
4,"Although strawberry is of great economic importance in Taiwan and anthracnose has become more destructive
in the past decade, the pathogen population in Taiwan has not been systematically investigated. The causal
agents of strawberry anthracnose were previously reported to be C. gloeosporioides19, C. dematium, C. fragariae,
and C. acutatum (Plant Protection Information System; https ://otser v2.tactr i.gov.tw/ppm/), but information
about the isolation, pathogenicity, morphology, and sequences of these species is not sufficient for species identification.
Recently, based on analysis of multiple gene sequences, we identified C. siamense as the pathogen
causing anthracnose crown rot5.
To provide accurate information for disease control and resistance breeding,
in this study we aimed to reveal the population composition of the infectious agents associated with strawberry
anthracnose in Taiwan. Samples collected from the major strawberry-producing areas of Taiwan from 2010 to
2018 were subjected to morphological and multi-gene phylogenetic analyses. To further understand the in vitro
and in planta aggressiveness of different Colletotrichum spp. at different temperatures, multiple representative
isolates of each species were tested for mycelial growth rates in an artificial medium as well as the ability to cause
lesions on wounded or non-wounded strawberry leaves. Since population analysis of Colletotrichum spp. causing
strawberry anthracnose has only been reported for species from the UK14
and China [Anhui, Hainan (only
one isolate), Hebei, Hubei, Liaoning, Shandong, and Zhejiang Provinces and Beijing and Shanghai cities]
16–18,
which, with the exception of Hainan, are geographical regions located at higher latitudes (30–53°N) relative to
Taiwan (24.5°N), this study will provide insights into the biology of strawberry anthracnose disease in subtropical
regions.","Although strawberry is of great economic importance in Taiwan and anthracnose has become more destructive in the past decade, the pathogen population in Taiwan has not been systematically investigated. The causal agents of strawberry anthracnose were previously reported to be C. gloeosporioides, C. dematium, C. fragariae, and C. acutatum (Plant Protection Information System; https ://otser v2.tactr i.gov.tw/ppm/), but information about the isolation, pathogenicity, morphology, and sequences of these species is not sufficient for species identification. Recently, based on analysis of multiple gene sequences, we identified C. siamense as the pathogen causing anthracnose crown rot. To provide accurate information for disease control and resistance breeding, in this study we aimed to reveal the population composition of the infectious agents associated with strawberry anthracnose in Taiwan. Samples collected from the major strawberry-producing areas of Taiwan from 2010 to 2018 were subjected to morphological and multi-gene phylogenetic analyses. To further understand the in vitro and in planta aggressiveness of different Colletotrichum spp. at different temperatures, multiple representative isolates of each species were tested for mycelial growth rates in an artificial medium as well as the ability to cause lesions on wounded or non-wounded strawberry leaves. Since population analysis of Colletotrichum spp. causing strawberry anthracnose has only been reported for species from the UK and China [Anhui, Hainan (only one isolate), Hebei, Hubei, Liaoning, Shandong, and Zhejiang Provinces and Beijing and Shanghai cities], which, with the exception of Hainan, are geographical regions located at higher latitudes (30–53°N) relative to Taiwan (24.5°N), this study will provide insights into the biology of strawberry anthracnose disease in subtropical regions.",What were the previously reported causal agents of strawberry anthracnose in Taiwan?,Why is it important to study the population composition of Colletotrichum spp. in Taiwan?,How does the study aim to assess the aggressiveness of different Colletotrichum spp.?,Has the pathogen population associated with strawberry anthracnose in Taiwan been systematically investigated before this study?,Is C. siamense identified as a new pathogen causing anthracnose crown rot in Taiwan?,Are the previous reports on Colletotrichum spp. based on species from regions with higher latitudes compared to Taiwan?,Diversity and pathogenicity of Colletotrichum species causing strawberry anthracnose in Taiwan and description of a new.pdf
5,"Molecular identification and phylogenetic analysis. Colletotrichum spp. isolates were first identified
at the species complex level. Among 52 Colletotrichum spp. isolates sampled from the major strawberry-producing
areas of Taiwan, 45 (86.5%) isolates belonged to the C. gloeosporioides species complex, 4 (7.7%) belonged to
the C. boninense species complex, and 3 (5.8%) belonged to the C. acutatum species complex (Table 1).","Molecular identification and phylogenetic analysis: Colletotrichum spp. isolates were first identified at the species complex level. Among 52 Colletotrichum spp. isolates sampled from the major strawberry-producing areas of Taiwan, 45 isolates (86.5%) belonged to the C. gloeosporioides species complex, 4 isolates (7.7%) belonged to the C. boninense species complex, and 3 isolates (5.8%) belonged to the C. acutatum species complex (Table 1).",What are the relative proportions of different Colletotrichum species complexes found in the samples from Taiwan?,How many Colletotrichum spp. isolates from Taiwan were identified as belonging to the C. gloeosporioides species complex?,What percentage of the sampled isolates belonged to the C. acutatum species complex?,Did the majority of Colletotrichum spp. isolates belong to the C. gloeosporioides species complex?,Were any Colletotrichum spp. isolates identified as part of the C. boninense species complex?,Is the C. acutatum species complex less represented compared to the C. gloeosporioides species complex in the Taiwan samples?,Diversity and pathogenicity of Colletotrichum species causing strawberry anthracnose in Taiwan and description of a new.pdf
6,"To further analyze the C. acutatum species complex, 3 isolates together with 40 reference isolates, including
the outgroup C. orchidophilum (CBS 632.80), were used to construct phylogenetic trees with five gene sequences
(ITS, GAPDH, CHS-1, ACT , and TUB2) (Table 1 and Supplementary Table S1) following Damm et al.12 and Fu
et al.20. The final data matrix contained a total of 1,821 characters with gaps (ITS: 1–540, GAPDH: 541–799,
CHS-1: 800–1,081, ACT : 1,082–1,329, TUB2: 1,330–1,821), of which 237 characters were parsimony informative,
174 parsimony uninformative, and 1,410 constant. After 2,000,000 generations of topological convergence via
Bayesian inference (BI) analysis, 2,378 trees were obtained. The first 25% of the trees were discarded, representing
the burn-in phase of the analyses, and the remaining trees were used to calculate the Bayesian posterior
probabilities in the majority rule consensus tree (Fig. 1). The maximum likelihood (ML) analysis resulted in a
best scoring RAxML tree with a final optimized likelihood value of − 6,726.174303. The most parsimonious tree
resulted from the maximum parsimony (MP) analysis received tree length = 692, consistency index (CI) = 0.714,
and retention index (RI) = 0.843. All three isolates (ML1040, ML1042, ML1794) were grouped in a distinct clade
with significant statistical support in the multilocus phylogenetic analysis (1/100/100, BI/ML/MP) (Fig. 1) and
the single gene trees of GAPDH, CHS-1, and TUB2 (Supplementary Fig. S1). This clade was distinct from all
other known species, and is herein described as a new species, C. miaoliense sp. nov.","To further analyze the C. acutatum species complex, three isolates, together with 40 reference isolates, including the outgroup C. orchidophilum (CBS 632.80), were used to construct phylogenetic trees with five gene sequences (ITS, GAPDH, CHS-1, ACT, and TUB2) (Table 1 and Supplementary Table S1), following Damm et al. and Fu et al. The final data matrix contained a total of 1,821 characters with gaps (ITS: 1–540, GAPDH: 541–799, CHS-1: 800–1,081, ACT: 1,082–1,329, TUB2: 1,330–1,821), of which 237 characters were parsimony-informative, 174 parsimony-uninformative, and 1,410 constant. After 2,000,000 generations of topological convergence via Bayesian inference (BI) analysis, 2,378 trees were obtained. The first 25% of the trees were discarded, representing the burn-in phase of the analyses, and the remaining trees were used to calculate the Bayesian posterior probabilities in the majority rule consensus tree (Fig. 1). The maximum likelihood (ML) analysis resulted in a best-scoring RAxML tree with a final optimized likelihood value of −6,726.174303. The most parsimonious tree, from the maximum parsimony (MP) analysis, had a tree length of 692, consistency index (CI) = 0.714, and retention index (RI) = 0.843. All three isolates (ML1040, ML1042, ML1794) were grouped in a distinct clade with significant statistical support in the multilocus phylogenetic analysis (1/100/100, BI/ML/MP) (Fig. 1) and the single gene trees of GAPDH, CHS-1, and TUB2 (Supplementary Fig. S1). This clade was distinct from all other known species and is herein described as a new species, C. miaoliense sp. nov.",What methods were used to construct the phylogenetic trees for analyzing the C. acutatum species complex?,How many characters were included in the final data matrix for the phylogenetic analysis?,"What is the name of the new Colletotrichum species identified in the study, and how was it distinguished from other species?",Was Bayesian inference (BI) analysis used to obtain the majority rule consensus tree?,"Did the phylogenetic analysis identify a distinct clade for the isolates ML1040, ML1042, and ML1794?",Was the new species identified in this study grouped separately from all other known Colletotrichum species?,Diversity and pathogenicity of Colletotrichum species causing strawberry anthracnose in Taiwan and description of a new.pdf
7,"To analyze the phylogeny of the C. boninense species complex, six gene sequences (ITS, GAPDH, CHS-1,
ACT , TUB2, and CAL) from 4 isolates together with 31 reference isolates, including the outgroup sequence of C.
gloeosporioides (IMI 356878), were used to construct phylogenetic trees (Table 1 and Supplementary Table S1).
The final data matrix contained a total of 2,363 characters with gaps (ITS: 1–558, GAPDH: 559–852, CHS-1:
853–1,132, ACT : 1,133–1,411, TUB2: 1,412–1,914, CAL: 1,915–2,363), of which 365 characters were parsimony
informative, 407 parsimony uninformative, and 1,591 constant. After 1,187,000 generations of topological convergence
via BI analysis, 492 trees were obtained. The first 25% of the trees were discarded, representing the
burn-in phase of the analyses, and the remaining trees were used to calculate the Bayesian posterior probabilities
in the majority rule consensus tree (Fig. 2). The ML analysis resulted in a best scoring RAxML tree with a
final optimized likelihood value of − 10,025.941645. The most parsimonious tree resulted from the MP analysis
received tree length = 1,281, CI = 0.774, and RI = 0.839. In single gene trees of GAPDH, CHS-1, and TUB2 and the
multilocus phylogenetic tree, three isolates (ML351, 442, 1792) clustered with strong statistical support in the
clade containing the type strain CGMCC 3.14194 and other related isolates of C. karstii (Fig. 2; single gene trees
not shown). In single gene trees of GAPDH and CAL and the multilocus phylogenetic tree, the isolate ML521
clustered with strong statistical support in the clade containing the type strain CBS 123755 and other related
isolates of C. boninense (Fig. 2; single gene trees not shown).","To analyze the phylogeny of the C. boninense species complex, six gene sequences (ITS, GAPDH, CHS-1, ACT, TUB2, and CAL) from four isolates, together with 31 reference isolates, including the outgroup sequence of C. gloeosporioides (IMI 356878), were used to construct phylogenetic trees (Table 1 and Supplementary Table S1). The final data matrix contained a total of 2,363 characters with gaps (ITS: 1–558, GAPDH: 559–852, CHS-1: 853–1,132, ACT: 1,133–1,411, TUB2: 1,412–1,914, CAL: 1,915–2,363), of which 365 characters were parsimony-informative, 407 parsimony-uninformative, and 1,591 constant. After 1,187,000 generations of topological convergence via BI analysis, 492 trees were obtained. The first 25% of the trees were discarded, representing the burn-in phase of the analyses, and the remaining trees were used to calculate the Bayesian posterior probabilities in the majority rule consensus tree (Fig. 2). The ML analysis resulted in a best-scoring RAxML tree with a final optimized likelihood value of −10,025.941645. The most parsimonious tree, from the MP analysis, had a tree length of 1,281, CI = 0.774, and RI = 0.839. In the single-gene trees of GAPDH, CHS-1, and TUB2, and the multilocus phylogenetic tree, three isolates (ML351, ML442, ML1792) clustered with strong statistical support in the clade containing the type strain CGMCC 3.14194 and other related isolates of C. karstii (Fig. 2; single-gene trees not shown). In the single-gene trees of GAPDH and CAL, and the multilocus phylogenetic tree, the isolate ML521 clustered with strong statistical support in the clade containing the type strain CBS 123755 and other related isolates of C. boninense (Fig. 2; single-gene trees not shown).",What methods and sequences were used to analyze the phylogeny of the C. boninense species complex?,How many characters were included in the final data matrix for the phylogenetic analysis of C. boninense?,"How were the isolates ML351, ML442, ML1792, and ML521 classified based on the phylogenetic analysis?",Was Bayesian inference (BI) analysis used to obtain the majority rule consensus tree for the C. boninense species complex?,Did the analysis identify strong statistical support for clades containing both C. karstii and C. boninense isolates?,Was the final optimized likelihood value for the best-scoring RAxML tree of C. boninense greater than that of the C. acutatum species complex analysis?,Diversity and pathogenicity of Colletotrichum species causing strawberry anthracnose in Taiwan and description of a new.pdf
8,"To identify species in the C. gloeosporioides species complex, a combination of seven gene sequences (ITS,
GAPDH, CHS-1, ACT , TUB2, CAL and ApMAT) from 45 isolates together with 47 reference isolates, including
the outgroup sequence of C. boninense (CBS 123755), were used to construct phylogenetic trees (Table 1 and Supplementary
Table S1). The final data matrix contained a total of 3,571 characters with gaps (ITS: 1–553, GAPDH:
554–808, CHS-1: 809–1,051, ACT : 1,052–1,325, TUB2: 1,326–2,028, CAL: 2,029–2,728, ApMAT: 2,729–3,571),
of which 655 characters were parsimony informative, 735 parsimony uninformative, and 2,181 constant. After
6,574,000 generations of topological convergence via BI analysis, 9,864 trees were obtained. The first 25% of the
trees were discarded, representing the burn-in phase of the analyses, and the remaining trees were used to calculate
the Bayesian posterior probabilities in the majority rule consensus tree (Fig. 3). The ML analysis resulted
in a best scoring RAxML tree with a final optimized likelihood value of − 18,514.217014. The most parsimonious
tree resulted from the MP analysis received tree length = 2,400, CI = 0.722, and RI = 0.876. In single gene trees of
TUB2, CAL, and ApMAT and the multilocus phylogenetic tree, 39 isolates clustered with strong statistical support
in the clade containing the type strain CBS 130417 and other related isolates of C. siamense (Fig. 3; single gene
trees not shown). The 39 isolates formed a subclade with a high support value (1/100/98, BI/ML/MP) (Fig. 3).
In single gene trees of GAPDH, ACT , TUB2, CAL, and ApMAT and the multilocus phylogenetic tree, six isolates
clustered with strong statistical support in the clade containing the type strain CBS 130416 and other related
isolates of C. fructicola (Fig. 3; single gene trees not shown).","To identify species in the C. gloeosporioides species complex, a combination of seven gene sequences (ITS, GAPDH, CHS-1, ACT, TUB2, CAL, and ApMAT) from 45 isolates, together with 47 reference isolates, including the outgroup sequence of C. boninense (CBS 123755), were used to construct phylogenetic trees (Table 1 and Supplementary Table S1). The final data matrix contained a total of 3,571 characters with gaps (ITS: 1–553, GAPDH: 554–808, CHS-1: 809–1,051, ACT: 1,052–1,325, TUB2: 1,326–2,028, CAL: 2,029–2,728, ApMAT: 2,729–3,571), of which 655 characters were parsimony-informative, 735 parsimony-uninformative, and 2,181 constant. After 6,574,000 generations of topological convergence via BI analysis, 9,864 trees were obtained. The first 25% of the trees were discarded, representing the burn-in phase of the analyses, and the remaining trees were used to calculate the Bayesian posterior probabilities in the majority rule consensus tree (Fig. 3). The ML analysis resulted in a best-scoring RAxML tree with a final optimized likelihood value of −18,514.217014. The most parsimonious tree, from the MP analysis, had a tree length of 2,400, CI = 0.722, and RI = 0.876. In the single-gene trees of TUB2, CAL, and ApMAT, and the multilocus phylogenetic tree, 39 isolates clustered with strong statistical support in the clade containing the type strain CBS 130417 and other related isolates of C. siamense (Fig. 3; single-gene trees not shown). The 39 isolates formed a subclade with high support values (1/100/98, BI/ML/MP) (Fig. 3). In the single-gene trees of GAPDH, ACT, TUB2, CAL, and ApMAT, and the multilocus phylogenetic tree, six isolates clustered with strong statistical support in the clade containing the type strain CBS 130416 and other related isolates of C. fructicola (Fig. 3; single-gene trees not shown).",What gene sequences were used to construct phylogenetic trees for the C. gloeosporioides species complex?,How many characters were included in the final data matrix for the phylogenetic analysis of C. gloeosporioides?,What were the results of the phylogenetic analysis in terms of clustering for the C. siamense and C. fructicola isolates?,Was a combination of seven gene sequences used to identify species in the C. gloeosporioides species complex?,"Did the Bayesian inference (BI) analysis result in 9,864 trees for the C. gloeosporioides species complex?",Were the isolates clustered with strong statistical support in the clades containing C. siamense and C. fructicola?,Diversity and pathogenicity of Colletotrichum species causing strawberry anthracnose in Taiwan and description of a new.pdf
9,"Based on morphological traits and multilocus phylogenetic analysis, the 52 isolates were assigned to five Colletotrichum
spp. including one new taxon (C. miaoliense sp. nov.) (Fig. 4; described in detail below), one newly
recorded taxon in strawberry (C. karstii), and three species known to be associated with strawberry anthracnose
(C. boninense, C. fructicola and C. siamense) (Supplementary Fig. S2–S5). The colony features that developed at
25 °C on PDA and 1/4 PDA were all white to grey, with orange conidia ooze. C. siamense ML133 and C. karstii
ML351 produced abundant conidia when cultured on 1/4 PDA at 25 °C; C. boninense ML521 produced more
conidia on PDA at 25 °C; C. fructicola ML348 and C. miaoliense ML1040 sporulated more abundantly on 1/4
PDA at 30 °C. The conidium and appressorium measurements of the five Colletotrichum spp. (isolates from this
study and the type strains) are listed in Supplementary Table S2. The conidia produced by C. miaoliense ML1040
were longer [length to width (L/W) ratio = 3.4] (Fig. 4) than the conidia of the other four species in this study
(L/W ratio = 2.3–3) (Fig. S2–S5; Supplementary Table S2).","Based on morphological traits and multilocus phylogenetic analysis, the 52 isolates were assigned to five Colletotrichum species, including one new taxon (C. miaoliense sp. nov.) (Fig. 4; described in detail below), one newly recorded taxon in strawberry (C. karstii), and three species known to be associated with strawberry anthracnose (C. boninense, C. fructicola, and C. siamense) (Supplementary Fig. S2–S5). The colony features that developed at 25°C on PDA and 1/4 PDA were all white to grey, with orange conidial ooze. C. siamense ML133 and C. karstii ML351 produced abundant conidia when cultured on 1/4 PDA at 25°C, while C. boninense ML521 produced more conidia on PDA at 25°C. C. fructicola ML348 and C. miaoliense ML1040 sporulated more abundantly on 1/4 PDA at 30°C. The conidium and appressorium measurements of the five Colletotrichum species (isolates from this study and the type strains) are listed in Supplementary Table S2. The conidia produced by C. miaoliense ML1040 were longer [length to width (L/W) ratio = 3.4] (Fig. 4) than those of the other four species in this study (L/W ratio = 2.3–3) (Fig. S2–S5; Supplementary Table S2).","What are the five Colletotrichum species identified in the study, including any new or newly recorded taxa?",How do the colony features of different Colletotrichum species compare when cultured on PDA and 1/4 PDA?,What are the differences in conidium measurements among the five Colletotrichum species identified in the study?,Was C. miaoliense identified as a new taxon in this study?,Is C. karstii a newly recorded taxon in strawberry according to the study?,Did C. miaoliense ML1040 produce conidia with a longer length to width (L/W) ratio compared to the other species studied?,Diversity and pathogenicity of Colletotrichum species causing strawberry anthracnose in Taiwan and description of a new.pdf
